시장	업종구분	종목명	종목코드	시가총액	유통비율
Q		GRT	'900290	"2,454"	"49.2"
Q		오가닉티코스메틱	'900300	"427"	"27.1"
K	유통	경방	'000050	"2,262"	"33.7"
K	금융	삼양홀딩스	'000070	"7,482"	"45.7"
K	'음식료/담배	하이트진로	'000080	"13,992"	"43.9"
K	'운송/창고	CJ대한통운	'000120	"19,413"	"47.2"
K	금융	하이트진로홀딩스	'000140	"2,530"	"26.2"
K	금융	두산	'000150	"94,021"	"42.0"
K	'운송장비/부품	DH오토넥스	'000300	"1,629"	"33.4"
K	금융	노루홀딩스	'000320	"2,811"	"30.7"
K	보험	한화손해보험	'000370	"6,432"	"45.6"
K	보험	롯데손해보험	'000400	"5,273"	"21.0"
Q	유통	중앙에너비스	'000440	"1,358"	"21.3"
K	비금속	CR홀딩스	'000480	"2,574"	"13.4"
K	'전기/전자	가온전선	'000500	"10,902"	"18.4"
K	보험	흥국화재	'000540	"2,849"	"19.6"
K	금융	CS홀딩스	'000590	"1,067"	"15.8"
K	금융	동아쏘시오홀딩스	'000640	"7,818"	"47.5"
K	'운송/창고	천일고속	'000650	"597"	"14.1"
K	금속	영풍	'000670	"7,978"	"40.8"
K	유통	LS네트웍스	'000680	"2,935"	"18.2"
K	유통	이화산업	'000760	"366"	"27.2"
K	화학	강남제비스코	'000860	"1,651"	"49.4"
K	화학	한화	'000880	"66,563"	"36.7"
K	금속	한국주철관	'000970	"1,651"	"45.7"
Q		신라섬유	'001000	"444"	"38.2"
K	'종이/목재	페이퍼코리아	'001020	"1,281"	"13.4"
K	금융	CJ	'001040	"42,598"	"45.5"
K	'섬유/의류	대한방직	'001070	"379"	"36.2"
K	'음식료/담배	대한제분	'001130	"2,618"	"49.0"
K	금융	동국홀딩스	'001230	"2,598"	"34.7"
K	유통	GS글로벌	'001250	"2,216"	"49.2"
K	건설	남광토건	'001260	"1,088"	"37.6"
K	증권	부국증권	'001270	"4,376"	"23.6"
K	증권	상상인증권	'001290	"735"	"32.4"
K	'운송장비/부품	SG글로벌	'001380	"794"	"41.5"
K	화학	KG케미칼	'001390	"3,095"	"47.6"
K	금속	세아베스틸지주	'001430	"8,194"	"37.3"
K	'섬유/의류	BYC	'001460	"2,355"	"28.1"
K	비금속	동양	'001520	"1,523"	"47.6"
Q	제약	안국약품	'001540	"1,028"	"38.9"
K	화학	조비	'001550	"811"	"43.0"
K	비금속	제일연마	'001560	"990"	"16.1"
K	제약	종근당홀딩스	'001630	"2,660"	"47.2"
K	증권	신영증권	'001720	"19,070"	"25.1"
K	유통	SK네트웍스	'001740	"9,570"	"42.9"
K	금속	SHD	'001770	"217"	"49.2"
K	'음식료/담배	대한제당	'001790	"2,637"	"46.3"
K	금융	오리온홀딩스	'001800	"13,312"	"32.1"
Q	'종이/목재	무림SP	'001810	"375"	"38.6"
K	금속	KISCO홀딩스	'001940	"3,686"	"33.3"
K	금융	코오롱	'002020	"4,331"	"48.3"
K	일반서비스	아세아	'002030	"6,284"	"33.7"
K	화학	경농	'002100	"1,980"	"23.2"
K	'섬유/의류	삼양통상	'002170	"1,626"	"30.7"
K	'종이/목재	한국수출포장	'002200	"1,212"	"45.4"
K	금속	한일철강	'002220	"686"	"37.5"
Q	'의료/정밀기기	피에스텍	'002230	"810"	"31.6"
K	금속	고려제강	'002240	"4,955"	"32.2"
K	'종이/목재	아세아제지	'002310	"3,310"	"40.4"
K	화학	넥센타이어	'002350	"6,016"	"30.8"
K	화학	KCC	'002380	"27,992"	"47.1"
K	유통	세기상사	'002420	"359"	"46.1"
K	제조	삼익악기	'002450	"1,169"	"38.9"
K	'음식료/담배	조흥	'002600	"946"	"32.8"
K	일반서비스	제일파마홀딩스	'002620	"1,331"	"22.9"
K	금속	동일제강	'002690	"326"	"36.4"
K	화학	아모레퍼시픽홀딩스	'002790	"22,169"	"31.8"
Q	제약	신신제약	'002800	"913"	"47.7"
K	'종이/목재	SUN&L	'002820	"369"	"48.8"
K	화학	미원상사	'002840	"8,450"	"22.7"
K	유통	신풍	'002870	"410"	"45.1"
K	화학	한국쉘석유	'002960	"5,590"	"46.2"
K	건설	금호건설	'002990	"1,228"	"49.5"
K	금융	세아제강지주	'003030	"9,257"	"32.9"
K	제약	에이프로젠바이오로직스	'003060	"1,309"	"42.7"
K	건설	코오롱글로벌	'003070	"1,789"	"23.4"
K	화학	SB성보	'003080	"539"	"49.2"
K	제약	대웅	'003090	"14,768"	"32.0"
Q	'운송/창고	선광	'003100	"1,406"	"38.4"
K	제약	일성아이에스	'003120	"2,919"	"13.1"
K	'섬유/의류	일신방직	'003200	"2,457"	"40.1"
K	화학	태광산업	'003240	"11,390"	"21.1"
K	'운송/창고	흥아해운	'003280	"5,289"	"29.2"
K	비금속	한일홀딩스	'003300	"5,525"	"30.4"
K	화학	한국화장품제조	'003350	"2,348"	"35.0"
Q	금융	하림지주	'003380	"10,361"	"38.3"
K	증권	유화증권	'003460	"1,559"	"31.6"
K	증권	유안타증권	'003470	"6,976"	"37.7"
K	'전기/가스	한진중공업홀딩스	'003480	"1,574"	"39.4"
K	제약	영진약품	'003520	"3,978"	"47.5"
K	'운송장비/부품	SNT다이내믹스	'003570	"18,189"	"25.1"
K	'섬유/의류	방림	'003610	"1,719"	"38.3"
K	'운송장비/부품	KG모빌리티	'003620	"6,861"	"45.7"
K	화학	미창석유	'003650	"1,981"	"46.7"
K	'전기/전자	포스코퓨처엠	'003670	"98,456"	"37.5"
K	화학	진양산업	'003780	"755"	"48.8"
Q	기타제조	에이스침대	'003800	"3,188"	"15.6"
K	화학	대한화섬	'003830	"1,956"	"20.4"
K	제약	보령	'003850	"7,300"	"33.7"
시장	업종구분	종목명	종목코드	시가총액	유통비율
K	'음식료/담배	남양유업	'003920	"4,231"	"34.1"
K	'음식료/담배	사조대림	'003960	"3,803"	"26.6"
K	유통	SG세계물산	'004060	"680"	"47.5"
K	유통	신흥	'004080	"1,383"	"19.8"
K	비금속	한국석유	'004090	"2,178"	"50.0"
K	화학	NPC	'004250	"1,678"	"31.4"
K	유통	남성	'004270	"395"	"49.5"
K	'운송/창고	세방	'004360	"2,786"	"48.3"
K	'기계/장비	삼익THK	'004380	"2,092"	"31.5"
K	비금속	삼일씨엔에스	'004440	"646"	"40.7"
K	금속	삼화왕관	'004450	"776"	"30.0"
Q	유통	한국가구	'004590	"774"	"44.2"
K	'전기/가스	삼천리	'004690	"5,442"	"45.3"
K	'섬유/의류	조광피혁	'004700	"4,122"	"22.8"
Q	금속	대륙제관	'004780	"618"	"46.8"
K	금융	효성	'004800	"10,814"	"42.1"
